province,year,poverty_rate,fitted_pooled,fitted_fe,fitted_re,resid_fe
BENGKULU,2024,13.04,9.928065684340964,10.368438324548102,10.22557360357365,-0.30759622848345103
LAMPUNG,2024,10.655,10.09115920196487,11.444004564979291,11.400351117422524,-0.21329376145386547
KEP. BANGKA BELITUNG,2024,4.8149999999999995,8.87903708387796,12.696633362156408,12.96184544863452,0.15483325058058384
KEP. RIAU,2024,5.075,4.719501616981859,6.95644979017397,5.995154581072725,-0.08270330284944372
DKI JAKARTA,2024,4.22,-1.20624481633471,4.0214759566475635,2.480724412024692,0.12525257607189388
JAWA BARAT,2024,7.27,8.123504612893207,9.280928197553418,8.603367000306541,-0.08274223785248225
JAWA TENGAH,2024,10.025,9.696242389796652,10.797894111037,10.378132388643387,-0.15379408890378699
DI YOGYAKARTA,2024,10.615,7.230647480916495,5.799851679725428,4.647649685624145,-0.27829562681808007
JAWA TIMUR,2024,9.675,9.220539941412923,10.188243419729659,9.677646379435878,-0.13685055782316802
BANTEN,2024,5.77,7.028734704388256,9.079382014099139,8.36578092945382,-0.04873077719142849
BALI,2024,3.9,7.353964906009118,7.543731148797406,6.832030249435725,0.0585281682199863
NUSA TENGGARA BARAT,2024,12.41,12.041733416955346,11.480243021293674,11.359794877121146,-0.08881016698014044
NUSA TENGGARA TIMUR,2024,19.25,16.48668417001455,13.361228857437261,13.97004650087458,-0.07428270552186511
KALIMANTAN BARAT,2024,6.285,12.184551796911009,13.127695232019079,13.425218080156363,0.05113923497506789
KALIMANTAN TENGAH,2024,5.215,7.489951171804833,10.652734091660818,10.495428911155287,0.08600304260637515
KALIMANTAN SELATAN,2024,4.0649999999999995,7.799578516766857,10.54846915817523,10.340274728596519,0.04896782330367522
KALIMANTAN TIMUR,2024,5.645,5.665694505357273,8.215587055343178,7.4921837658162715,-0.04541892571012873
KALIMANTAN UTARA,2024,5.85,10.377059360155052,11.76449503785814,12.019637342125534,-0.05249822787091141
SULAWESI UTARA,2024,6.975,5.212308595846238,7.688910682183227,6.928459011755493,0.011803566420098832
SULAWESI TENGAH,2024,11.405,11.646766097981711,11.360375458496776,11.643872967329578,-0.22841248042424667
SULAWESI SELATAN,2024,7.915,6.82101116815948,8.800362416995128,8.19192998333461,-0.0435367634828836
SULAWESI TENGGARA,2024,10.920000000000002,9.399065000565066,8.961384028647053,8.697000614780983,0.09100274460096891
GORONTALO,2024,14.219999999999999,11.489294556849359,11.483325482092546,11.632778167795244,-0.048565816127771555
SULAWESI BARAT,2024,10.96,11.900858452065151,12.096560145417023,12.490216715673832,0.02652737209906597
MALUKU,2024,15.915,10.749592111320105,9.606565986017031,9.477684279789457,-0.09086516185434057
MALUKU UTARA,2024,6.175000000000001,11.999694373236863,10.916893148335195,11.028781153246015,0.07113289572847492
PAPUA BARAT,2024,21.375,16.57259273691018,13.303296932507813,14.148082527455287,-0.05375456209455187
PAPUA BARAT DAYA,2024,17.54,17.919110648864617,12.289070823103849,13.130776144988673,-0.6718431228488075
PAPUA,2024,17.675,27.563282092840588,14.32086131576935,16.719290740216557,0.3776564726398792
PAPUA SELATAN,2024,18.395000000000003,25.079557587958064,16.157754247626023,18.34601213204904,-0.9325132262526257
PAPUA TENGAH,2024,28.68,28.21053054757289,20.779175775883637,23.100294676445422,0.22142062755416525
PAPUA PEGUNUNGAN,2024,31.314999999999998,20.704283594249134,22.95169495558465,25.297078167912204,-0.20421875722159832
